QR Code Name,QR Code Description,Redirection URL
Partido 101,Cargar los puntos del partido 101,https://torneo.sejama.com.ar/partido/101/editar
Partido 102,Cargar los puntos del partido 102,https://torneo.sejama.com.ar/partido/102/editar
Partido 103,Cargar los puntos del partido 103,https://torneo.sejama.com.ar/partido/103/editar
Partido 104,Cargar los puntos del partido 104,https://torneo.sejama.com.ar/partido/104/editar
Partido 105,Cargar los puntos del partido 105,https://torneo.sejama.com.ar/partido/105/editar
Partido 106,Cargar los puntos del partido 106,https://torneo.sejama.com.ar/partido/106/editar
Partido 107,Cargar los puntos del partido 107,https://torneo.sejama.com.ar/partido/107/editar
Partido 108,Cargar los puntos del partido 108,https://torneo.sejama.com.ar/partido/108/editar
Partido 109,Cargar los puntos del partido 109,https://torneo.sejama.com.ar/partido/109/editar
Partido 110,Cargar los puntos del partido 110,https://torneo.sejama.com.ar/partido/110/editar
Partido 111,Cargar los puntos del partido 111,https://torneo.sejama.com.ar/partido/111/editar
Partido 112,Cargar los puntos del partido 112,https://torneo.sejama.com.ar/partido/112/editar
Partido 113,Cargar los puntos del partido 113,https://torneo.sejama.com.ar/partido/113/editar
Partido 114,Cargar los puntos del partido 114,https://torneo.sejama.com.ar/partido/114/editar
Partido 115,Cargar los puntos del partido 115,https://torneo.sejama.com.ar/partido/115/editar
Partido 116,Cargar los puntos del partido 116,https://torneo.sejama.com.ar/partido/116/editar
Partido 117,Cargar los puntos del partido 117,https://torneo.sejama.com.ar/partido/117/editar
Partido 118,Cargar los puntos del partido 118,https://torneo.sejama.com.ar/partido/118/editar
Partido 119,Cargar los puntos del partido 119,https://torneo.sejama.com.ar/partido/119/editar
Partido 120,Cargar los puntos del partido 120,https://torneo.sejama.com.ar/partido/120/editar
Partido 121,Cargar los puntos del partido 121,https://torneo.sejama.com.ar/partido/121/editar
Partido 122,Cargar los puntos del partido 122,https://torneo.sejama.com.ar/partido/122/editar
Partido 123,Cargar los puntos del partido 123,https://torneo.sejama.com.ar/partido/123/editar
Partido 124,Cargar los puntos del partido 124,https://torneo.sejama.com.ar/partido/124/editar
Partido 125,Cargar los puntos del partido 125,https://torneo.sejama.com.ar/partido/125/editar
Partido 126,Cargar los puntos del partido 126,https://torneo.sejama.com.ar/partido/126/editar
Partido 127,Cargar los puntos del partido 127,https://torneo.sejama.com.ar/partido/127/editar
Partido 128,Cargar los puntos del partido 128,https://torneo.sejama.com.ar/partido/128/editar
Partido 129,Cargar los puntos del partido 129,https://torneo.sejama.com.ar/partido/129/editar
Partido 130,Cargar los puntos del partido 130,https://torneo.sejama.com.ar/partido/130/editar
Partido 131,Cargar los puntos del partido 131,https://torneo.sejama.com.ar/partido/131/editar
Partido 132,Cargar los puntos del partido 132,https://torneo.sejama.com.ar/partido/132/editar
Partido 133,Cargar los puntos del partido 133,https://torneo.sejama.com.ar/partido/133/editar
Partido 134,Cargar los puntos del partido 134,https://torneo.sejama.com.ar/partido/134/editar
Partido 135,Cargar los puntos del partido 135,https://torneo.sejama.com.ar/partido/135/editar
Partido 136,Cargar los puntos del partido 136,https://torneo.sejama.com.ar/partido/136/editar
Partido 137,Cargar los puntos del partido 137,https://torneo.sejama.com.ar/partido/137/editar
Partido 138,Cargar los puntos del partido 138,https://torneo.sejama.com.ar/partido/138/editar
Partido 139,Cargar los puntos del partido 139,https://torneo.sejama.com.ar/partido/139/editar
Partido 140,Cargar los puntos del partido 140,https://torneo.sejama.com.ar/partido/140/editar
Partido 141,Cargar los puntos del partido 141,https://torneo.sejama.com.ar/partido/141/editar
Partido 142,Cargar los puntos del partido 142,https://torneo.sejama.com.ar/partido/142/editar
Partido 143,Cargar los puntos del partido 143,https://torneo.sejama.com.ar/partido/143/editar
Partido 144,Cargar los puntos del partido 144,https://torneo.sejama.com.ar/partido/144/editar
Partido 145,Cargar los puntos del partido 145,https://torneo.sejama.com.ar/partido/145/editar
Partido 146,Cargar los puntos del partido 146,https://torneo.sejama.com.ar/partido/146/editar
Partido 147,Cargar los puntos del partido 147,https://torneo.sejama.com.ar/partido/147/editar
Partido 148,Cargar los puntos del partido 148,https://torneo.sejama.com.ar/partido/148/editar
Partido 149,Cargar los puntos del partido 149,https://torneo.sejama.com.ar/partido/149/editar
Partido 150,Cargar los puntos del partido 150,https://torneo.sejama.com.ar/partido/150/editar
