QR ID,QR Title,QR Description,Permalink,Type,Redirection,PNG Image,SVG Image
2962610,Partido 111,Cargar los puntos del partido 111,http://uqr.to/1rhyq,url,https://torneo.sejama.com.ar/partido/111/editar,https://app.qrcodekit.com/qrs/2962610.png,https://app.qrcodekit.com/qrs/2962610.svg
2962609,Partido 110,Cargar los puntos del partido 110,http://uqr.to/1rhyp,url,https://torneo.sejama.com.ar/partido/110/editar,https://app.qrcodekit.com/qrs/2962609.png,https://app.qrcodekit.com/qrs/2962609.svg
2962608,Partido 109,Cargar los puntos del partido 109,http://uqr.to/1rhyo,url,https://torneo.sejama.com.ar/partido/109/editar,https://app.qrcodekit.com/qrs/2962608.png,https://app.qrcodekit.com/qrs/2962608.svg
2962607,Partido 108,Cargar los puntos del partido 108,http://uqr.to/1rhyn,url,https://torneo.sejama.com.ar/partido/108/editar,https://app.qrcodekit.com/qrs/2962607.png,https://app.qrcodekit.com/qrs/2962607.svg
2962606,Partido 107,Cargar los puntos del partido 107,http://uqr.to/1rhym,url,https://torneo.sejama.com.ar/partido/107/editar,https://app.qrcodekit.com/qrs/2962606.png,https://app.qrcodekit.com/qrs/2962606.svg
2962605,Partido 106,Cargar los puntos del partido 106,http://uqr.to/1rhyl,url,https://torneo.sejama.com.ar/partido/106/editar,https://app.qrcodekit.com/qrs/2962605.png,https://app.qrcodekit.com/qrs/2962605.svg
2962604,Partido 105,Cargar los puntos del partido 105,http://uqr.to/1rhyk,url,https://torneo.sejama.com.ar/partido/105/editar,https://app.qrcodekit.com/qrs/2962604.png,https://app.qrcodekit.com/qrs/2962604.svg
2962603,Partido 104,Cargar los puntos del partido 104,http://uqr.to/1rhyj,url,https://torneo.sejama.com.ar/partido/104/editar,https://app.qrcodekit.com/qrs/2962603.png,https://app.qrcodekit.com/qrs/2962603.svg
2962602,Partido 103,Cargar los puntos del partido 103,http://uqr.to/1rhyi,url,https://torneo.sejama.com.ar/partido/103/editar,https://app.qrcodekit.com/qrs/2962602.png,https://app.qrcodekit.com/qrs/2962602.svg
2962601,Partido 102,Cargar los puntos del partido 102,http://uqr.to/1rhyh,url,https://torneo.sejama.com.ar/partido/102/editar,https://app.qrcodekit.com/qrs/2962601.png,https://app.qrcodekit.com/qrs/2962601.svg
2962600,Partido 101,Cargar los puntos del partido 101,http://uqr.to/1rhyg,url,https://torneo.sejama.com.ar/partido/101/editar,https://app.qrcodekit.com/qrs/2962600.png,https://app.qrcodekit.com/qrs/2962600.svg
2962599,Partido 100,Cargar los puntos del partido 100,http://uqr.to/1rhyf,url,https://torneo.sejama.com.ar/partido/100/editar,https://app.qrcodekit.com/qrs/2962599.png,https://app.qrcodekit.com/qrs/2962599.svg
2962598,Partido 99,Cargar los puntos del partido 99,http://uqr.to/1rhye,url,https://torneo.sejama.com.ar/partido/99/editar,https://app.qrcodekit.com/qrs/2962598.png,https://app.qrcodekit.com/qrs/2962598.svg
